Fecha,Hora,Produccion_Eolica
2019-01-27,10,12.0
2019-01-27,11,11.0
2019-01-27,12,7.5
2019-01-27,13,10.0
2019-01-27,14,24.0
2019-01-27,15,34.0
2019-01-27,16,25.5
2019-01-27,17,13.0
2019-01-27,18,18.0
2019-01-27,19,22.5
2019-01-27,20,23.5
2019-01-27,21,32.0
2019-01-27,22,43.0
2019-01-27,23,55.5
2019-01-27,24,68.5
2019-01-28,1,76.0
2019-01-28,2,103.0
2019-01-28,3,126.0
2019-01-28,4,141.0
2019-01-28,5,162.5
2019-01-28,6,147.0
2019-01-28,7,130.5
2019-01-28,8,122.5
2019-01-28,9,110.0
2019-01-28,10,129.0
2019-01-28,11,122.5
2019-01-28,12,101.5
2019-01-28,13,86.0
2019-01-28,14,79.5
2019-01-28,15,78.0
2019-01-28,16,95.5
2019-01-28,17,115.5
2019-01-28,18,126.0
2019-01-28,19,136.0
2019-01-28,20,144.5
2019-01-28,21,143.0
2019-01-28,22,144.5
2019-01-28,23,133.0
2019-01-28,24,124.5
2019-01-29,1,117.5
2019-01-29,2,103.5
2019-01-29,3,92.5
2019-01-29,4,83.5
2019-01-29,5,78.0
2019-01-29,6,81.5
2019-01-29,7,84.0
2019-01-29,8,85.5
2019-01-29,9,72.0
2019-01-29,10,41.0
2019-01-29,11,6.5
2019-01-29,12,5.5
2019-01-29,13,10.5
2019-01-29,14,14.5
2019-01-29,15,25.5
2019-01-29,16,39.0
2019-01-29,17,38.0
2019-01-29,18,24.5
2019-01-29,19,11.0
2019-01-29,20,4.5
2019-01-29,21,7.0
2019-01-29,22,15.0
2019-01-29,23,24.0
2019-01-29,24,28.5
2019-01-30,1,38.5
2019-01-30,2,43.0
2019-01-30,3,47.0
2019-01-30,4,32.5
2019-01-30,5,20.5
2019-01-30,6,15.0
2019-01-30,7,13.0
2019-01-30,8,13.0
2019-01-30,9,12.0
2019-01-30,10,22.0
2019-01-30,11,40.0
2019-01-30,12,59.5
2019-01-30,13,71.5
2019-01-30,14,70.0
2019-01-30,15,56.0
2019-01-30,16,40.5
2019-01-30,17,31.5
2019-01-30,18,35.0
2019-01-30,19,37.0
2019-01-30,20,41.5
2019-01-30,21,48.0
2019-01-30,22,48.0
2019-01-30,23,40.0
2019-01-30,24,26.5
2019-01-31,1,24.5
2019-01-31,2,21.5
2019-01-31,3,16.5
2019-01-31,4,20.5
2019-01-31,5,35.0
2019-01-31,6,55.5
2019-01-31,7,57.0
2019-01-31,8,41.5
2019-01-31,9,25.5
2019-01-31,10,19.5
2019-01-31,11,10.0
2019-01-31,12,2.5
2019-01-31,13,7.5
2019-01-31,14,26.5
2019-01-31,15,41.5
2019-01-31,16,53.5
2019-01-31,17,57.5
2019-01-31,18,48.5
2019-01-31,19,35.5
2019-01-31,20,31.5
2019-01-31,21,32.0
2019-01-31,22,38.0
2019-01-31,23,39.5
2019-01-31,24,42.0
2019-02-01,1,45.0
2019-02-01,2,49.5
2019-02-01,3,58.5
2019-02-01,4,68.5
2019-02-01,5,59.0
2019-02-01,6,55.5
2019-02-01,7,59.5
2019-02-01,8,61.0
2019-02-01,9,67.5
2019-02-01,10,74.0
2019-02-01,11,72.5
2019-02-01,12,69.5
2019-02-01,13,60.0
2019-02-01,14,51.0
2019-02-01,15,34.5
2019-02-01,16,15.0
2019-02-01,17,17.5
2019-02-01,18,28.5
2019-02-01,19,30.0
2019-02-01,20,20.5
2019-02-01,21,16.0
2019-02-01,22,22.0
2019-02-01,23,24.0
2019-02-01,24,23.0
2019-02-02,1,22.5
2019-02-02,2,20.5
2019-02-02,3,17.5
2019-02-02,4,13.5
2019-02-02,5,11.0
2019-02-02,6,11.0
2019-02-02,7,10.5
2019-02-02,8,10.0
2019-02-02,9,16.0
2019-02-02,10,27.5
2019-02-02,11,37.5
2019-02-02,12,40.0
2019-02-02,13,33.0
2019-02-02,14,21.5
2019-02-02,15,15.5
2019-02-02,16,24.0
2019-02-02,17,39.0
2019-02-02,18,48.5
2019-02-02,19,53.5
2019-02-02,20,48.5
2019-02-02,21,39.5
2019-02-02,22,25.5
2019-02-02,23,16.5
2019-02-02,24,19.5
2019-02-03,1,41.5
2019-02-03,2,70.0
2019-02-03,3,104.5
2019-02-03,4,143.0
2019-02-03,5,160.0
2019-02-03,6,156.5
2019-02-03,7,139.0
2019-02-03,8,131.5
2019-02-03,9,141.5
2019-02-03,10,139.5
2019-02-03,11,142.5
2019-02-03,12,139.0
2019-02-03,13,128.0
2019-02-03,14,118.5
2019-02-03,15,132.5
2019-02-03,16,152.5
2019-02-03,17,170.5
2019-02-03,18,174.0
2019-02-03,19,162.5
2019-02-03,20,141.0
2019-02-03,21,126.0
2019-02-03,22,132.0
2019-02-03,23,137.0
2019-02-03,24,139.0
2019-02-04,1,138.5
2019-02-04,2,98.0
2019-02-04,3,65.0
2019-02-04,4,56.5
2019-02-04,5,45.0
2019-02-04,6,36.0
2019-02-04,7,35.0
2019-02-04,8,36.0
2019-02-04,9,28.5
2019-02-04,10,18.0
2019-02-04,11,15.0
2019-02-04,12,12.5
2019-02-04,13,12.0
2019-02-04,14,11.0
2019-02-04,15,10.5
2019-02-04,16,6.0
2019-02-04,17,1.0
2019-02-04,18,3.5
2019-02-04,19,9.5
2019-02-04,20,17.5
2019-02-04,21,21.5
2019-02-04,22,25.0
2019-02-04,23,26.5
2019-02-04,24,25.0
2019-02-05,1,19.5
2019-02-05,2,13.0
2019-02-05,3,11.5
2019-02-05,4,10.5
2019-02-05,5,16.5
2019-02-05,6,22.5
2019-02-05,7,23.5
2019-02-05,8,20.5
2019-02-05,9,15.0
2019-02-05,10,7.5
2019-02-05,11,4.0
2019-02-05,12,3.0
2019-02-05,13,2.5
2019-02-05,14,2.0
2019-02-05,15,2.5
2019-02-05,16,6.0
2019-02-05,17,12.5
2019-02-05,18,17.0
2019-02-05,19,18.5
2019-02-05,20,17.5
2019-02-05,21,15.0
2019-02-05,22,15.5
2019-02-05,23,17.0
2019-02-05,24,18.0
2019-02-06,1,18.5
2019-02-06,2,19.0
2019-02-06,3,22.5
2019-02-06,4,27.0
2019-02-06,5,31.0
2019-02-06,6,31.0
2019-02-06,7,29.0
2019-02-06,8,27.5
2019-02-06,9,25.5
2019-02-06,10,18.5
2019-02-06,11,10.5
2019-02-06,12,6.5
2019-02-06,13,4.5
2019-02-06,14,4.0
2019-02-06,15,3.5
2019-02-06,16,2.0
2019-02-06,17,4.0
2019-02-06,18,7.5
2019-02-06,19,10.0
2019-02-06,20,12.0
2019-02-06,21,13.0
2019-02-06,22,15.0
2019-02-06,23,15.0
2019-02-06,24,12.5
2019-02-07,1,10.0
2019-02-07,2,8.5
2019-02-07,3,8.5
2019-02-07,4,9.0
2019-02-07,5,12.0
2019-02-07,6,15.5
2019-02-07,7,19.5
2019-02-07,8,23.0
2019-02-07,9,22.0
2019-02-07,10,17.5
2019-02-07,11,12.5
2019-02-07,12,9.0
2019-02-07,13,5.5
2019-02-07,14,2.5
2019-02-07,15,2.0
2019-02-07,16,3.5
2019-02-07,17,3.5
2019-02-07,18,4.5
2019-02-07,19,6.5
2019-02-07,20,11.5
